from,to,demand
1,2,198
1,3,316
1,4,430
1,5,596
1,6,592
1,7,584
1,8,532
1,9,398
1,10,599
1,11,621
1,12,420
1,13,515
1,14,531
1,15,509
1,16,521
1,17,596
1,18,428
1,19,488
1,20,485
1,21,560
1,22,537
1,23,481
1,24,442
1,25,595
1,26,367
1,27,358
1,28,255
1,29,325
1,30,576
1,31,616
1,32,522
1,33,496
1,34,544
1,35,561
1,36,572
1,37,567
1,38,524
1,39,478
1,40,552
2,1,198
2,3,646
2,4,772
2,5,719
2,6,710
2,7,675
2,8,772
2,9,623
2,10,655
2,11,523
2,12,447
2,13,550
2,14,565
2,15,539
2,16,552
2,17,534
2,18,448
2,19,517
2,20,514
2,21,593
2,22,584
2,23,508
2,24,473
2,25,708
2,26,377
2,27,374
2,28,478
2,29,608
2,30,656
2,31,683
2,32,549
2,33,535
2,34,582
2,35,596
2,36,596
2,37,589
2,38,538
2,39,487
2,40,576
3,1,316
3,2,646
3,4,859
3,5,826
3,6,725
3,7,681
3,8,785
3,9,632
3,10,660
3,11,523
3,12,443
3,13,547
3,14,564
3,15,539
3,16,549
3,17,533
3,18,447
3,19,517
3,20,515
3,21,595
3,22,585
3,23,508
3,24,469
3,25,723
3,26,362
3,27,358
3,28,465
3,29,604
3,30,662
3,31,687
3,32,546
3,33,534
3,34,582
3,35,596
3,36,597
3,37,587
3,38,533
3,39,484
3,40,573
4,1,430
4,2,772
4,3,859
4,5,789
4,6,638
4,7,614
4,8,758
4,9,604
4,10,646
4,11,663
4,12,559
4,13,670
4,14,667
4,15,626
4,16,555
4,17,634
4,18,444
4,19,605
4,20,597
4,21,657
4,22,554
4,23,507
4,24,631
4,25,637
4,26,517
4,27,524
4,28,474
4,29,536
4,30,581
4,31,659
4,32,712
4,33,675
4,34,639
4,35,652
4,36,640
4,37,632
4,38,556
4,39,509
4,40,604
5,1,596
5,2,719
5,3,826
5,4,789
5,6,592
5,7,512
5,8,734
5,9,733
5,10,773
5,11,784
5,12,616
5,13,756
5,14,746
5,15,690
5,16,717
5,17,703
5,18,568
5,19,671
5,20,671
5,21,725
5,22,597
5,23,768
5,24,755
5,25,598
5,26,552
5,27,570
5,28,543
5,29,601
5,30,480
5,31,743
5,32,896
5,33,769
5,34,713
5,35,727
5,36,712
5,37,693
5,38,672
5,39,617
5,40,656
6,1,592
6,2,710
6,3,725
6,4,638
6,5,592
6,7,433
6,8,836
6,9,876
6,10,863
6,11,865
6,12,631
6,13,797
6,14,780
6,15,715
6,16,741
6,17,708
6,18,564
6,19,663
6,20,669
6,21,720
6,22,605
6,23,829
6,24,833
6,25,800
6,26,514
6,27,525
6,28,472
6,29,498
6,30,460
6,31,643
6,32,898
6,33,826
6,34,721
6,35,728
6,36,709
6,37,695
6,38,533
6,39,545
6,40,655
7,1,584
7,2,675
7,3,681
7,4,614
7,5,512
7,6,433
7,8,809
7,9,770
7,10,805
7,11,813
7,12,630
7,13,768
7,14,759
7,15,700
7,16,725
7,17,699
7,18,484
7,19,601
7,20,609
7,21,606
7,22,448
7,23,651
7,24,780
7,25,425
7,26,531
7,27,535
7,28,491
7,29,512
7,30,423
7,31,530
7,32,851
7,33,788
7,34,592
7,35,620
7,36,640
7,37,618
7,38,541
7,39,413
7,40,526
8,1,532
8,2,772
8,3,785
8,4,758
8,5,734
8,6,836
8,7,809
8,9,1017
8,10,966
8,11,944
8,12,615
8,13,680
8,14,687
8,15,615
8,16,642
8,17,617
8,18,489
8,19,580
8,20,584
8,21,783
8,22,621
8,23,605
8,24,668
8,25,835
8,26,598
8,27,614
8,28,601
8,29,626
8,30,644
8,31,947
8,32,942
8,33,701
8,34,760
8,35,759
8,36,730
8,37,707
8,38,604
8,39,523
8,40,678
9,1,398
9,2,623
9,3,632
9,4,604
9,5,733
9,6,876
9,7,770
9,8,1017
9,10,952
9,11,923
9,12,453
9,13,719
9,14,713
9,15,622
9,16,658
9,17,619
9,18,465
9,19,574
9,20,579
9,21,805
9,22,667
9,23,747
9,24,790
9,25,818
9,26,594
9,27,614
9,28,601
9,29,630
9,30,616
9,31,1030
9,32,911
9,33,741
9,34,782
9,35,771
9,36,739
9,37,711
9,38,676
