from,to,travel_time
1,2, 76
2,1, 76
2,3, 36
3,2, 36
3,4, 89
4,3, 89
4,5, 126
4,30, 272
5,4, 126
5,6, 141
5,29, 259
5,30, 179
5,31, 176
6,5, 141
6,25, 4
6,30, 76
6,31, 69
7,25, 102
8,9, 166
8,10, 247
8,23, 198
8,31, 166
9,8, 166
9,10, 115
9,12, 255
9,24, 95
9,31, 154
9,32, 203
10,8, 247
10,9, 115
10,12, 170
10,24, 165
10,31, 234
11,12, 127
11,24, 184
12,9, 255
12,10, 170
12,11, 127
12,24, 238
12,32, 141
13,14, 67
14,13, 67
14,15, 70
15,14, 70
16,17, 60
16,18, 257
16,19, 273
16,20, 273
16,33, 252
17,16, 60
17,18, 230
17,19, 238
17,33, 266
18,16, 257
18,17, 230
19,16, 273
19,17, 238
19,20, 238
20,16, 273
20,19, 238
21,22, 216
21,33, 293
21,34, 162
22,21, 216
22,33, 284
23,8, 198
23,24, 98
24,9, 95
24,10, 165
24,11, 184
24,12, 238
24,23, 98
24,32, 137
25,6, 4
25,7, 102
26,27, 59
27,26, 59
28,29, 55
29,5, 259
29,28, 55
29,30, 131
30,4, 272
30,5, 179
30,6, 76
30,29, 131
30,31, 88
31,5, 176
31,6, 69
31,8, 166
31,9, 154
31,10, 234
31,30, 88
32,9, 203
32,12, 141
32,24, 137
32,33, 47
33,16, 252
33,17, 266
33,21, 293
33,22, 284
33,32, 47
34,21, 162
34,35, 127
35,34, 127
35,36, 103
36,35, 103
36,37, 39
37,36, 39
37,38, 60
38,37, 60
38,39, 63
39,38, 63
