from, to, travel_time
1, 2, 76
1, 124, 81
2, 1, 76
2, 3, 36
2, 124, 143
2, 164, 71
2, 165, 113
3, 2, 36
3, 4, 89
3, 162, 123
3, 164, 94
3, 165, 136
4, 3, 89
4, 5, 126
4, 30, 272
4, 162, 81
4, 163, 114
5, 4, 126
5, 6, 141
5, 29, 259
5, 30, 179
5, 31, 176
5, 151, 192
5, 175, 197
5, 176, 179
5, 177, 185
6, 5, 141
6, 25, 4
6, 30, 76
6, 31, 69
6, 48, 118
6, 49, 212
6, 50, 192
6, 53, 267
6, 55, 299
6, 151, 85
6, 155, 260
6, 159, 234
6, 176, 237
6, 177, 253
7, 25, 102
7, 48, 118
7, 50, 192
7, 54, 257
7, 55, 299
8, 9, 166
8, 10, 247
8, 23, 198
8, 31, 166
8, 48, 266
8, 156, 179
8, 157, 192
8, 185, 241
9, 8, 166
9, 10, 115
9, 12, 255
9, 24, 95
9, 31, 154
9, 32, 203
9, 116, 284
9, 131, 242
9, 135, 192
9, 137, 184
9, 156, 56
9, 169, 205
9, 185, 109
10, 8, 247
10, 9, 115
10, 12, 170
10, 24, 165
10, 31, 234
10, 130, 46
10, 131, 158
10, 135, 107
10, 137, 100
10, 150, 176
10, 156, 135
10, 185, 20
11, 12, 127
11, 24, 184
11, 130, 28
11, 136, 258
11, 169, 80
12, 9, 255
12, 10, 170
12, 11, 127
12, 24, 238
12, 32, 141
12, 96, 59
12, 116, 148
12, 131, 191
12, 134, 296
12, 135, 145
12, 137, 145
12, 156, 274
12, 169, 134
12, 185, 164
13, 14, 67
13, 96, 64
13, 116, 49
13, 134, 285
13, 139, 196
13, 140, 223
13, 144, 209
14, 13, 67
14, 15, 70
15, 14, 70
15, 47, 98
15, 95, 77
15, 134, 282
15, 139, 116
15, 140, 163
15, 144, 149
16, 17, 60
16, 18, 257
16, 19, 273
16, 20, 273
16, 33, 252
16, 70, 215
16, 95, 20
16, 98, 261
16, 99, 261
16, 100, 261
16, 119, 257
16, 153, 235
16, 168, 101
17, 16, 60
17, 18, 230
17, 19, 238
17, 33, 266
17, 70, 229
17, 94, 9
17, 98, 235
17, 99, 235
17, 100, 235
17, 119, 230
17, 153, 249
17, 168, 138
18, 16, 257
18, 17, 230
18, 47, 288
18, 93, 274
18, 106, 225
18, 119, 231
18, 168, 244
18, 170, 258
19, 16, 273
19, 17, 238
19, 20, 238
19, 41, 253
19, 70, 262
19, 92, 253
19, 104, 155
19, 153, 254
20, 16, 273
20, 19, 238
20, 41, 253
20, 70, 261
20, 92, 253
20, 94, 238
20, 104, 155
20, 153, 254
21, 22, 216
21, 33, 293
21, 34, 162
21, 41, 295
21, 56, 299
21, 58, 169
21, 68, 135
21, 69, 240
21, 72, 291
21, 81, 284
21, 92, 267
21, 120, 194
21, 121, 243
21, 136, 250
21, 153, 277
21, 190, 241
21, 191, 241
22, 21, 216
22, 33, 284
22, 41, 295
22, 56, 256
22, 68, 101
22, 70, 228
22, 71, 1
22, 72, 207
22, 73, 278
22, 81, 213
22, 112, 292
22, 120, 213
22, 121, 207
22, 136, 134
22, 153, 268
22, 190, 133
22, 191, 133
23, 8, 198
23, 24, 98
23, 55, 265
23, 66, 275
23, 67, 167
23, 69, 203
23, 71, 115
23, 136, 160
23, 190, 212
23, 191, 212
24, 9, 95
24, 10, 165
24, 11, 184
24, 12, 238
24, 23, 98
24, 32, 137
24, 116, 219
24, 131, 292
24, 135, 242
24, 136, 121
24, 137, 234
24, 169, 139
24, 185, 159
25, 6, 4
25, 7, 102
25, 54, 243
26, 27, 59
26, 51, 117
26, 52, 148
26, 80, 133
27, 26, 59
27, 42, 59
27, 51, 110
27, 52, 117
27, 80, 99
27, 117, 65
28, 29, 55
28, 52, 141
28, 53, 154
28, 115, 272
28, 117, 77
29, 5, 259
29, 28, 55
29, 30, 131
29, 48, 213
29, 49, 199
29, 53, 154
29, 87, 258
29, 115, 241
29, 125, 153
30, 4, 272
30, 5, 179
30, 6, 76
30, 29, 131
30, 31, 88
30, 48, 128
30, 49, 195
30, 50, 203
30, 53, 270
30, 87, 289
30, 115, 272
30, 125, 184
30, 151, 115
30, 159, 278
30, 176, 280
30, 177, 297
31, 5, 176
31, 6, 69
31, 8, 166
31, 9, 154
31, 10, 234
31, 30, 88
31, 49, 262
31, 151, 63
31, 156, 162
31, 157, 175
31, 159, 210
31, 174, 202
31, 176, 231
31, 185, 228
32, 9, 203
32, 12, 141
32, 24, 137
32, 33, 47
32, 68, 292
32, 116, 107
32, 136, 201
32, 169, 26
33, 16, 252
33, 17, 266
33, 21, 293
33, 22, 284
33, 32, 47
33, 41, 237
33, 68, 266
33, 69, 300
33, 70, 105
33, 92, 240
33, 136, 229
33, 153, 124
33, 190, 300
33, 191, 300
34, 21, 162
34, 35, 127
34, 41, 246
34, 58, 60
34, 68, 100
34, 72, 221
34, 92, 229
34, 105, 163
34, 120, 145
35, 34, 127
35, 36, 103
35, 41, 278
35, 59, 145
35, 92, 238
35, 105, 50
35, 118, 181
36, 35, 103
36, 37, 39
36, 59, 100
36, 118, 136
37, 36, 39
37, 38, 60
38, 37, 60
38, 39, 63
38, 112, 189
38, 113, 152
39, 38, 63
39, 57, 45
39, 73, 259
39, 112, 145
39, 113, 108
40, 57, 31
40, 73, 227
40, 74, 176
40, 75, 150
40, 81, 227
40, 114, 47
40, 145, 287
41, 19, 253
41, 20, 253
41, 21, 295
41, 22, 295
41, 33, 237
41, 34, 246
41, 35, 278
41, 58, 249
41, 68, 248
41, 70, 154
41, 92, 222
41, 94, 294
41, 104, 273
41, 105, 273
41, 120, 154
41, 153, 158
42, 27, 59
42, 51, 121
42, 52, 154
42, 80, 120
42, 115, 284
43, 44, 33
43, 179, 144
44, 43, 33
44, 45, 32
45, 44, 32
45, 46, 43
45, 170, 12
46, 45, 43
46, 47, 29
46, 170, 39
47, 15, 98
47, 18, 288
47, 46, 29
47, 95, 117
47, 98, 293
47, 99, 293
47, 100, 293
47, 119, 288
47, 134, 298
47, 139, 104
47, 140, 104
47, 144, 138
48, 6, 118
48, 7, 118
48, 8, 266
48, 29, 213
48, 30, 128
48, 49, 107
48, 50, 114
48, 53, 170
48, 54, 203
48, 55, 244
48, 125, 286
48, 155, 187
49, 6, 212
49, 29, 199
49, 30, 195
49, 31, 262
49, 48, 107
49, 50, 115
49, 53, 128
49, 125, 248
49, 151, 278
50, 6, 192
50, 7, 192
50, 30, 203
50, 48, 114
50, 49, 115
50, 53, 129
50, 54, 102
50, 155, 86
51, 26, 117
51, 27, 110
51, 42, 121
51, 52, 114
51, 80, 101
51, 90, 292
51, 115, 236
51, 117, 163
52, 26, 148
52, 27, 117
52, 28, 141
52, 42, 154
52, 51, 114
52, 53, 198
52, 80, 157
52, 89, 266
52, 90, 222
52, 115, 166
52, 117, 170
52, 154, 295
53, 6, 267
53, 28, 154
53, 29, 154
53, 30, 270
53, 48, 170
53, 49, 128
53, 50, 129
53, 52, 198
53, 125, 250
54, 7, 257
54, 25, 243
54, 48, 203
54, 50, 102
54, 66, 2
54, 71, 265
54, 155, 61
55, 6, 299
55, 7, 299
55, 23, 265
55, 48, 244
55, 56, 102
55, 66, 85
55, 67, 135
55, 68, 239
55, 69, 217
55, 72, 195
55, 83, 179
55, 84, 168
55, 85, 135
55, 86, 199
55, 91, 133
55, 111, 242
55, 121, 160
55, 136, 281
55, 190, 195
55, 191, 195
56, 21, 299
56, 22, 256
56, 55, 102
56, 67, 199
56, 68, 228
56, 69, 227
56, 72, 180
56, 82, 228
56, 111, 228
56, 121, 93
56, 136, 290
56, 190, 181
56, 191, 180
57, 39, 45
57, 40, 31
58, 21, 169
58, 34, 60
58, 41, 249
58, 68, 113
58, 72, 200
58, 73, 261
58, 81, 196
58, 92, 246
58, 112, 275
58, 120, 148
58, 121, 117
59, 35, 145
59, 36, 100
59, 60, 63
59, 118, 151
59, 188, 112
60, 59, 63
60, 61, 34
61, 60, 34
61, 62, 56
62, 61, 56
62, 63, 32
63, 62, 32
63, 64, 31
64, 63, 31
64, 65, 22
65, 64, 22
65, 181, 71
66, 23, 275
66, 54, 2
66, 55, 85
66, 67, 163
66, 68, 267
66, 69, 245
66, 83, 218
66, 84, 177
66, 85, 144
66, 86, 209
66, 91, 143
66, 190, 246
66, 191, 246
67, 23, 167
67, 55, 135
67, 56, 199
67, 66, 163
67, 68, 191
67, 69, 119
67, 71, 120
67, 72, 233
67, 84, 246
67, 85, 213
67, 86, 277
67, 91, 211
67, 111, 285
67, 121, 246
67, 136, 235
67, 190, 207
67, 191, 207
68, 21, 135
68, 22, 101
68, 32, 292
68, 33, 266
68, 34, 100
68, 41, 248
68, 55, 239
68, 56, 228
68, 58, 113
68, 66, 267
68, 67, 191
68, 69, 125
68, 70, 187
68, 72, 180
68, 73, 251
68, 81, 186
68, 82, 286
68, 92, 287
68, 112, 265
68, 120, 164
68, 121, 180
68, 136, 135
68, 190, 126
68, 191, 126
69, 21, 240
69, 23, 203
69, 33, 300
69, 55, 217
69, 56, 227
69, 66, 245
69, 67, 119
69, 68, 125
69, 70, 244
